name;bus;capacity;dispatchable;profile;tech;type
pv-AT;AT-electricity;12089.6934;False;pv-AT-profile;pv;generator
pv-BE;BE-electricity;24086.6424;False;pv-BE-profile;pv;generator
pv-CH;CH-electricity;15000.0;False;pv-CH-profile;pv;generator
pv-CZ;CZ-electricity;13048.0;False;pv-CZ-profile;pv;generator
pv-DE;DE-electricity;98599.3758;False;pv-DE-profile;pv;generator
pv-DK;DK-electricity;2038.0;False;pv-DK-profile;pv;generator
pv-FR;FR-electricity;103055.0;False;pv-FR-profile;pv;generator
pv-LU;LU-electricity;1030.016;False;pv-LU-profile;pv;generator
pv-NL;NL-electricity;22247.2952;False;pv-NL-profile;pv;generator
pv-NO;NO-electricity;5364.0;False;pv-NO-profile;pv;generator
pv-PL;PL-electricity;24220.0;False;pv-PL-profile;pv;generator
pv-SE;SE-electricity;8919.0;False;pv-SE-profile;pv;generator
wind-AT;AT-electricity;6879.9;False;wind-AT-profile;wind;generator
wind-BE;BE-electricity;10902.95;False;wind-BE-profile;wind;generator
wind-CH;CH-electricity;1382.0;False;wind-CH-profile;wind;generator
wind-CZ;CZ-electricity;10234.0;False;wind-CZ-profile;wind;generator
wind-DE;DE-electricity;98326.0;False;wind-DE-profile;wind;generator
wind-DK;DK-electricity;18707.65;False;wind-DK-profile;wind;generator
wind-FR;FR-electricity;124196.9;False;wind-FR-profile;wind;generator
wind-LU;LU-electricity;738.65;False;wind-LU-profile;wind;generator
wind-NL;NL-electricity;14996.55;False;wind-NL-profile;wind;generator
wind-NO;NO-electricity;12175.4;False;wind-NO-profile;wind;generator
wind-PL;PL-electricity;81917.9;False;wind-PL-profile;wind;generator
wind-SE;SE-electricity;24211.4;False;wind-SE-profile;wind;generator
